Database Source	Sequence ID	Plasmid name	Strain of origin	Sequence length
NCBI	NC_004930.1	pBM02	Lactococcus lactis cremoris P8-2-47	3911
NCBI	NC_010114.1	p09022A	Vibrio sp. 09022	31481
NCBI	NZ_CM003759.1	pXF-P1.COF0324	Xylella fastidiosa strain COF0324	26888
NCBI	NZ_CP014892.1	pL11992-2	Lactobacillus backii strain TMW 1.1992	43777
NCBI	NC_014819.1	pASTEX02	Asticcacaulis excentricus CB 48	162638
NCBI	NZ_CP015791.1	lp28-3	Borrelia mayonii strain MN14-1420	28208
NCBI	NZ_CP018921.1	unnamed4	Serratia marcescens strain UMH7	47941
NCBI	NZ_CP020848.1	pKPN1481-1	Klebsiella pneumoniae strain KPN1481	352717
NCBI	NC_004822.1	pPNWB	Peanut witches'-broom phytoplasma	4288
NCBI	NZ_CP018665.1	pCAV1042-2781	Klebsiella pneumoniae strain CAV1042	2822
NCBI	NC_022242.1	Unknown	Achromobacter xylosoxidans subsp. denitrificans pAX22	28874
NCBI	NC_019937.1	pPSEST01	Pseudomonas stutzeri RCH2	12947
NCBI	NC_012811.1	Unknown	Methylobacterium extorquens AM1	1279482
NCBI	NZ_CP013631.1	pRspN324a	Rhizobium sp. N324	310210
NCBI	NC_010112.1	p23023	Vibrio sp. 23023	53279
NCBI	NZ_CP019939.1	unnamed2	Ketogulonicigenium robustum strain SPU_B003	19977
NCBI	NZ_CP012510.1	pPSB1-2	Piscirickettsia salmonis strain PM32597B1	52313
NCBI	NZ_CP013038.1	pJFP838E	Clostridium perfringens strain JP838	14868
NCBI	NZ_AKVW01000007.1	Dx	Rhodobacter sphaeroides 2.4.1	52881
NCBI	NC_011975.1	72a_cp32-5	Borrelia burgdorferi 72a	17261
NCBI	NC_010927.1	pRM	Rickettsia monacensis strain IrR/Munich	23823
NCBI	NZ_CP016475.1	unnamed1	Synechococcus sp. PCC 7003	35236
NCBI	NZ_CP018440.1	pKp_Goe_917-6	Klebsiella pneumoniae strain Kp_Goe_822917	4576
NCBI	NZ_CP012031.1	lbp1	Leptospira borgpetersenii serovar Ballum strain 56604	66371
NCBI	NZ_CP021328.1	pRo24724	Raoultella ornithinolytica strain Ro24724	452993
NCBI	NC_011311.1	pVSAL840	Aliivibrio salmonicida LFI1238	84735
NCBI	NZ_AUPS01000031.1	pS1c	Staphylococcus aureus S1	3956
NCBI	NZ_CP012629.1	pSF-468-4	Escherichia coli strain SF-468	4132
NCBI	NZ_CP013321.1	pCAV1193-3741	Klebsiella pneumoniae strain CAV1193	3796
NCBI	NZ_CP021854.1	unitig_2	Proteus mirabilis strain AR_0156	27201
NCBI	NZ_CP014309.1	unnamed2	Burkholderia sp. PAMC 26561	805219
NCBI	NZ_CP014818.1	sequence	Borrelia hermsii strain DAH-2E7	6044
NCBI	NC_010815.1	pGLOV01	Geobacter lovleyi SZ	78216
NCBI	NC_019340.1	pZGX01	Propionibacterium jensenii	6968
NCBI	NZ_CP018848.1	pLL074-4.1	Xanthomonas citri subsp. citri strain LL074-4	223842
NCBI	NZ_CP023360.1	p54	Escherichia coli strain 1943	54686
NCBI	NZ_CP020843.1	pKPN1482-2	Klebsiella pneumoniae strain KPN1482	98592
NCBI	NZ_CP015374.1	unnamed	Pandoraea pnomenusa strain MCB032	29432
NCBI	NZ_CP011979.1	pDMC1097-20.222kb	Klebsiella pneumoniae DMC1097	20512
NCBI	NZ_CP010011.1	unnamed13	Bacillus thuringiensis serovar kurstaki strain HD 1	7746
NCBI	NZ_CP003716.1	pZM1402301	Zymomonas mobilis subsp. mobilis str. CP4 = NRRL B-14023	34401
NCBI	NC_025160.1	pC7	Lactobacillus paraplantarum	2166
NCBI	NZ_CP015032.1	pBcn842-1	Burkholderia cenocepacia strain 842	247609
NCBI	NC_002798.1	pSRQ700	Lactococcus lactis DCH-4	7897
NCBI	NC_017812.1	clone	Borrelia crocidurae str. Achema	9857
NCBI	NC_009469.1	pACRY03	Acidiphilium cryptum JF-5	90225
NCBI	NZ_CP017764.1	unnamed1	Bacillus subtilis strain 29R7-12	65528
NCBI	NZ_CP020807.1	pLS01	Lactobacillus sakei strain Probio65	13206
NCBI	NC_017105.1	pAPA42C_020	Acetobacter pasteurianus IFO 3283-01-42C	185555
NCBI	NZ_CP015022.1	pSRCC	Escherichia coli strain SRCC 1675	96531
NCBI	NC_017438.1	Plasmid0001	Chlamydia trachomatis A2497	7588
NCBI	NZ_CP016462.1	pBSY18_1	Blastomonas sp. RAC04	189155
NCBI	NZ_CP016700.1	p275B	Lactococcus lactis subsp. lactis strain 275	57138
NCBI	NZ_CP016820.1	pDF02	Rhodococcus sp. p52	245708
NCBI	NZ_CP022008.1	pls2	Burkholderia gladioli pv. gladioli strain KACC 11889	27021
NCBI	NZ_CP013620.1	pRIVM1607	Staphylococcus aureus strain RIVM1607	1464
NCBI	NZ_CP022693.1	pAUSMDU8079-2	Klebsiella pneumoniae subsp. pneumoniae strain AUSMDU00008079	115264
NCBI	NZ_CP021701.1	pUMNLJ21_1	Lactobacillus johnsonii strain UMNLJ21	21317
NCBI	NC_002122.1	P9	Shigella sonnei	94735
NCBI	NZ_CP017441.1	pO157	Escherichia coli O157:H7 strain 3384	94055
NCBI	NC_020551.1	pIU824	Chlamydia trachomatis IU824	7611
NCBI	NZ_CP006801.1	Unknown	Klebsiella pneumoniae subsp. pneumoniae PittNDM01	71827
NCBI	NZ_CM003624.1	pSAHUG_S19b	Staphylococcus aureus subsp. aureus strain MRSA_S19	4603
NCBI	NZ_CM001836.1	pPCS8235	Streptococcus pneumoniae PCS8235	3194
NCBI	NZ_CM003621.1	pSAHUG_S15b	Staphylococcus aureus subsp. aureus strain MRSA_S15	4604
NCBI	NZ_CP011294.1	unnamed2	Salmonella enterica subsp. diarizonae strain 11-01854	58784
NCBI	NC_025041.1	pL15	Sulfobacillus thermotolerans strain L15	66846
NCBI	NZ_CP021734.1	unitig_2	Escherichia coli strain AR_0114	86414
NCBI	NC_002569.1	pBG7AU	Mycoplasma leachii	1038
NCBI	NZ_CM003342.1	p4Cn9691	Clostridium novyi B str. NCTC 9691	51495
NCBI	NC_017630.1	pUM146	Escherichia coli UM146	116188
NCBI	NZ_CP014903.1	pL12002-4	Lactobacillus backii strain TMW 1.2002	66634
NCBI	NC_007351.1	pSSP1	Staphylococcus saprophyticus subsp. saprophyticus ATCC 15305	39005
NCBI	NC_005021.1	pSMB1	Streptococcus pneumoniae	3209
NCBI	NC_003904.1	SCP2	Streptomyces coelicolor A3(2)	31766
NCBI	NZ_CP015284.1	Unknown	Streptococcus salivarius strain ATCC 25975	128364
NCBI	NZ_CP020890.1	unnamed1	Xanthomonas citri subsp. citri strain TX160197	130985
NCBI	NZ_CM007858.1	unnamed	Campylobacter jejuni subsp. jejuni strain CJ076CC21	29503
NCBI	NZ_CP014811.1	Unnamed	Borrelia hermsii strain DAH-2E7	44055
NCBI	NZ_CP019754.1	pl12113-4	Lactobacillus brevis strain TMW 1.2113	8635
NCBI	NC_007171.1	pSHaeC	Staphylococcus haemolyticus JCSC1435	8298
NCBI	NC_020824.1	pKB290-7	Lactobacillus brevis KB290	10449
NCBI	NC_020946.1	pA5291	Chlamydia trachomatis A/5291	7611
NCBI	NZ_AUYZ01000011.1	p1_B2_433	Clostridium botulinum B2 433	270506
NCBI	NZ_CP013819.1	p3PS10	Piscirickettsia salmonis strain AY3800B	46422
NCBI	NZ_CP019314.1	pDOK1-4-2	Tateyamaria omphalii strain DOK1-4	80028
NCBI	NC_018488.1	p04	Bacillus thuringiensis HD-771	66407
NCBI	NZ_CP009971.1	Unknown	Yersinia pestis CO92	97586
NCBI	NC_010070.1	pBMUL01	Burkholderia multivorans ATCC 17616	169815
NCBI	NZ_CP016739.1	pJM3C	Lactococcus lactis subsp. cremoris strain JM3	45905
NCBI	NZ_CP013551.1	pRetR611d	Rhizobium phaseoli strain R611	1005092
NCBI	NC_011336.1	pCC7	Capnocytophaga canimorsus strain 7	4646
NCBI	NZ_CP016631.1	pLY7801	Lactobacillus plantarum strain LY-78	9483
NCBI	NZ_CP021031.1	pRspNXC14a	Rhizobium sp. NXC14	537639
NCBI	NC_011073.1	pBFP35	Bacteroides fragilis	5675
NCBI	NC_017159.1	pPCP1	Yersinia pestis D182038	9747
NCBI	NC_023280.1	pRAY*-v3	Acinetobacter nosocomialis	6166
NCBI	NC_015918.1	lp28-7	Borreliella bissettii DN127	30939
NCBI	NZ_CM007660.1	unnamed	Aeromonas hydrophila strain Ah-HSP	121589
NCBI	NC_018886.1	BTB_9p	Bacillus thuringiensis Bt407	8636
NCBI	NC_000956.1	lp56	Borrelia burgdorferi B31	53729
NCBI	NC_010379.1	pCLD	Clostridium botulinum B1 str. Okra	150907
NCBI	NZ_CP018232.1	unnamed4	Rhizobium leguminosarum strain Vaf-108	282306
NCBI	NC_017412.1	JD1	Borrelia burgdorferi JD1	30423
NCBI	NZ_CP018734.1	pICMP7383.3	Xanthomonas gardneri strain ICMP7383	47797
NCBI	NZ_CP014404.1	pUSA04-2-SUR11	Staphylococcus aureus strain USA300-SUR11	26353
NCBI	NC_019308.1	pIL6	Lactococcus lactis subsp. lactis	28842
NCBI	NC_017799.1	clone	Borrelia crocidurae str. Achema	2137
NCBI	NC_023322.1	pNDM-40-1	Acinetobacter bereziniae strain CHI-40-1	46482
NCBI	NZ_CP011808.2	pPF72-1	Pandoraea faecigallinarum strain DSM 23572	392150
NCBI	NC_016861.1	pSTMDT12_L	Salmonella enterica subsp. enterica serovar Typhimurium str. T000240	108033
NCBI	NC_019201.1	pTSC1	Streptomyces sp. x4(2010)	7067
NCBI	NC_013938.1	pRAM18	Candidatus Rickettsia amblyommii AaR/SC	18608
NCBI	NZ_CP015234.1	unnamed4	Ruegeria mobilis F1926	59153
NCBI	NC_010072.1	pIP1203	Yersinia pestis	2786
NCBI	NC_011655.1	pAH187_270	Bacillus cereus AH187	273942
NCBI	NC_024991.1	pTDC-B	Tetragenococcus halophilus	29100
NCBI	NZ_LT635894.1	pLeu	Buchnera aphidicola (Cinara pseudotaxifoliae) strain BCipseudotaxifoliae genome assembly,	6083
NCBI	NZ_CP011977.1	pDMC1097-218.836kb	Klebsiella pneumoniae DMC1097	221964
NCBI	NZ_LN554854.1	pMVIS39	Moritella viscosa genome assembly MVIS1,	3913
NCBI	NC_011855.1	PBr_lp28-7	Borrelia garinii PBr	27393
NCBI	NZ_AP014869.1	pKK5	Bacillus thuringiensis serovar tolworthi	24114
NCBI	NC_009786.1	pETEC_80	Escherichia coli E24377A	80370
NCBI	NZ_CP013977.1	pPSCRG02-2	Piscirickettsia salmonis strain CGR02	33978
NCBI	NZ_CP023393.1	pWiKim0068-1	Lactococcus raffinolactis strain WiKim0068	48437
NCBI	NC_020421.1	pTGRD2	Uncultured Termite group 1 bacterium phylotype Rs-D17	5784
NCBI	NC_017468.1	pH10	Lactobacillus helveticus H10	26864
NCBI	NZ_LT603686.1	II	Lactococcus piscium strain CNCM I-4031	20483
NCBI	NC_014475.1	pWZ1668	Enterococcus faecalis	49057
NCBI	NZ_AKVZ01000059.1	pRau01	Rickettsia australis str. Phillips	26990
NCBI	NC_012983.1	pHbal01	Hirschia baltica ATCC 49814	85701
NCBI	NC_019886.1	pAMT7	Thermococcus sp. AMT7	8700
NCBI	NC_020391.1	pIS56-11	Bacillus thuringiensis serovar thuringiensis str. IS5056	11494
NCBI	NZ_CP005190.1	pMI1	Sphingobium sp. MI1205	296310
NCBI	NZ_CP017079.1	pSA4	Novosphingobium resinovorum strain SA1	68247
NCBI	NC_012209.1	pYe4449-2	Yersinia enterocolitica	14873
NCBI	NZ_CP012183.1	pBCI2-2	Pseudonocardia sp. EC080610-09	120329
NCBI	NZ_CM002275.1	pPVA2	Streptomyces sp. PVA 94-07	78612
NCBI	NZ_CP014253.1	CFSAN023459_01	Listeria monocytogenes strain CFSAN023459	13135
NCBI	NZ_CP016425.1	unnamed1	Chlamydia trachomatis strain SB013112	7613
NCBI	NC_003383.1	pLI100	Listeria innocua Clip11262	83077
NCBI	NC_013667.2	pWTY27	Streptomyces sp. Y27	14494
NCBI	NZ_CP007808.1	pBRLA07	Brevibacillus laterosporus LMG 15441	7198
NCBI	NZ_CP015167.1	unnamed3	Acetobacter pasteurianus subsp. ascendens strain LMG 1590	43766
NCBI	NZ_CP011316.1	pKpn23412-4	Klebsiella pneumoniae subsp. pneumoniae strain 234-12	3832
NCBI	NZ_CP019031.1	pSNU175-2	Lactobacillus fermentum strain SNUV175	33892
NCBI	NC_004058.1	pF3028	Haemophilus influenzae biotype aegyptius BPF	32843
NCBI	NZ_CP015835.1	pMS6198A	Escherichia coli strain MS6198	139532
NCBI	NC_006377.1	pWCFS103	Lactobacillus plantarum WCFS1	36586
NCBI	NZ_CP016330.1	unnamed1	Leuconostoc garlicum strain KFRI01	39193
NCBI	NZ_CP018222.1	pHSL1	Sphingomonas sp. JJ-A5	100791
NCBI	NC_019012.1	Unknown	Fibrella aestuarina BUZ 2 pFAES01	164132
NCBI	NZ_CM003330.1	p4CbIt1	Clostridium botulinum C/D str. It1	12990
NCBI	NZ_CP018951.1	pEC276_2	Escherichia coli strain Ecol_276	44001
NCBI	NC_009793.1	pCKO3	Citrobacter koseri ATCC BAA-895	9428
EBI	CP002288.1	pA81	Achromobacter xylosoxidans A8	99792
NCBI	NC_006830.1	pA81	Achromobacter xylosoxidans A8	99596
NCBI	NZ_CP019182.1	pATCC10720	Salmonella enterica subsp. enterica serovar Inverness str. ATCC 10720	125977
NCBI	NZ_CP016687.1	p158C	Lactococcus lactis subsp. cremoris strain 158	52390
NCBI	NZ_CP014217.1	unnamed2	Acinetobacter baumannii strain YU-R612	5545
NCBI	NZ_CM001375.1	pLDNY2	Fluoribacter dumoffii NY 23	140316
NCBI	NZ_CP015790.1	lp28-10	Borrelia mayonii strain MN14-1420	24154
NCBI	NZ_CP014638.1	pR99	Vibrio vulnificus strain CECT 4999	69425
NCBI	NC_021278.1	1	Mycobacterium abscessus subsp. bolletii 50594	175284
NCBI	NC_009931.1	pREB6	Acaryochloris marina MBIC11017	175197
NCBI	NZ_CP009063.1	lp28-2	Borrelia afzelii K78	29150
NCBI	NC_012179.1	64b_lp17	Borrelia burgdorferi 64b	16839
NCBI	NC_005816.1	pPCP1	Yersinia pestis biovar Microtus str. 91001	9748
NCBI	NC_019956.1	pTHETHE01	Thermoanaerobacterium thermosaccharolyticum M0795	112467
NCBI	NZ_CP018575.1	Unknown	Bacillus pumilus strain GLB197	7163
NCBI	NC_009329.1	pLW1071	Geobacillus thermodenitrificans NG80-2	58519
NCBI	NC_019789.1	pDEIPE01	Deinococcus peraridilitoris DSM 19664	564583
NCBI	NZ_CP019369.1	lpU43	Borrelia turicatae 91E135	43847
NCBI	NZ_CP021801.1	psymA	Sinorhizobium meliloti strain USDA1021	1432810
NCBI	NC_017422.1	N40_cp32-7	Borrelia burgdorferi N40	17734
NCBI	NZ_CP014964.1	pSD	Geobacter anodireducens strain SD-1	112087
NCBI	NZ_CP010142.1	B	Escherichia coli strain D3	92275
NCBI	NZ_CP010141.1	A	Escherichia coli strain D3	176529
NCBI	NC_017229.1	cp26	Borrelia afzelii PKo	26920
NCBI	NZ_CP022136.1	unnamed1	Salmonella enterica subsp. diarizonae serovar 65:c:z str. SA20044251	86882
NCBI	NZ_CP021344.1	pB11911	Acinetobacter baumannii strain B11911	219878
NCBI	NZ_LN868944.1	2	Salmonella enterica subsp. enterica serovar Senftenberg genome assembly NCTC10384,	738305
NCBI	NC_020979.1	pA7249	Chlamydia trachomatis A/7249	7611
NCBI	NC_002144.1	pYC	Yersinia pestis CH971662	6005
NCBI	NZ_HG813245.1	2	Staphylococcus epidermidis PM221	33568
NCBI	NZ_CP019173.1	pCFSAN004175	Salmonella enterica subsp. enterica serovar Saintpaul strain CFSAN004175	82573
NCBI	NZ_CP020583.1	pJBA13_2	Acinetobacter baumannii strain JBA13	1126
NCBI	NC_005207.3	pPI-1	Staphylococcus warneri	30634
NCBI	NZ_CP010325.1	pPSP-057	Pantoea sp. PSNIH1	109162
NCBI	NZ_CP009443.1	pFPJ_1	Francisella philomiragia strain O#319-036 [FSC 153]	4947
NCBI	NC_019432.1	pCIS5	Lactococcus lactis subsp. cremoris UC509.9	11844
NCBI	NZ_CP008933.1	pPMK1-NDM	Klebsiella pneumoniae strain PMK1	308878
NCBI	NZ_CP014751.1	Unknown	Thermococcus peptonophilus strain OG-1	49809
NCBI	NC_017420.1	N40_lp25	Borrelia burgdorferi N40	23730
NCBI	NZ_CP011405.1	pR2	Lactobacillus salivarius str. Ren	50562
NCBI	NZ_CP012291.1	pL21535-3	Pediococcus damnosus strain TMW 2.1535	145927
NCBI	NZ_CP018961.1	pEC422_1	Escherichia coli strain Ecol_422	294046
NCBI	NZ_CP019311.1	pDOK1-1-4	Phaeobacter inhibens strain DOK1-1	69744
NCBI	NC_019438.1	pCIS1	Lactococcus lactis subsp. cremoris UC509.9	4325
NCBI	NC_013370.1	pO111_2	Escherichia coli O111:H- str. 11128	99297
NCBI	NZ_CP012488.1	pAKI40A	Enterobacter sp. FY-07	14156
NCBI	NC_017640.1	pUMNK88_Ent	Escherichia coli UMNK88	82640
NCBI	NZ_CP013496.1	pRspN621a	Rhizobium sp. N621	319658
NCBI	NZ_CP019036.1	unnamed1	Massilia putida strain 6NM-7T	79284
NCBI	NZ_CP022252.1	pAMT4	Staphylococcus epidermidis strain ATCC 12228	2426
NCBI	NZ_ALIG01000010.1	pAV3	Acinetobacter venetianus VE-C3	189111
NCBI	NZ_CM003323.1	p5CbV891	Clostridium botulinum V891	40232
NCBI	NC_021049.1	pL2/434/Bu(f)	Chlamydia trachomatis L2/434/Bu(f)	7608
NCBI	NC_017242.1	pInt	Brachyspira intermedia PWS/A	3308
NCBI	NZ_CP010885.1	P1	Vibrio parahaemolyticus strain CHN25	93818
NCBI	NC_016772.1	pNC1	Bacillus cereus NC7401	48659
NCBI	NC_020262.1	pSP291-3	Cronobacter sakazakii SP291	4487
NCBI	NZ_CP019753.1	pl12113-3	Lactobacillus brevis strain TMW 1.2113	47253
NCBI	NC_007169.1	pSHaeA	Staphylococcus haemolyticus JCSC1435	2334
NCBI	NZ_CP014472.1	unnamed1	Bacillus subtilis subsp. natto strain CGMCC 2108	5905
NCBI	NC_020980.1	pAms1	Chlamydia trachomatis L2b/Ams1	7609
NCBI	NC_021657.1	pBmb9393	Staphylococcus aureus Bmb9393	2951
NCBI	NZ_CP012637.1	pSF-088-2	Escherichia coli strain SF-088	5242
NCBI	NZ_CP013788.1	p2PS7	Piscirickettsia salmonis strain PM58386B	51417
NCBI	NZ_CP007791.1	pCmarinum2	Corynebacterium marinum DSM 44953	26228
NCBI	NC_015511.1	pHALHY01	Haliscomenobacter hydrossis DSM 1100	166364
NCBI	NZ_HG941719.1	pEC958	Escherichia coli ST131 strain EC958	137541
NCBI	NC_011526.1	pQpRS_K_Q154	Coxiella burnetii CbuK_Q154	39843
NCBI	NC_019156.1	pAAC154	Klebsiella pneumoniae	15318
NCBI	NZ_CP009074.1	Unknown	Escherichia coli ATCC 25922	24532
NCBI	NZ_CP015942.1	unnamed1	Legionella pneumophila strain C9_S	33837
NCBI	NZ_CP018932.1	unnamed	Bacillus cereus strain ISSFR-3F	99129
NCBI	NC_011649.1	cp32-4	Borrelia afzelii ACA-1	31252
NCBI	NZ_CP018859.1	pLH201.1	Xanthomonas citri subsp. citri strain LH201	216792
NCBI	NC_017776.1	clone	Borrelia crocidurae str. Achema	4952
NCBI	NC_022043.1	pAMI5	Paracoccus aminophilus JCM 7686	298219
NCBI	NZ_CP015808.1	lp36	Borrelia mayonii strain MN14-1539	45680
NCBI	NZ_CP011315.1	pKpn2312-5	Klebsiella pneumoniae subsp. pneumoniae strain 234-12	4902
NCBI	NZ_CP015142.1	pEC732_4	Escherichia coli strain Ecol_732	4132
NCBI	NZ_CP014410.1	pUSA01-1-SUR13	Staphylococcus aureus strain USA300-SUR13	3171
NCBI	NZ_CP018710.1	pKp_Goe_026-2	Klebsiella pneumoniae strain Kp_Goe_827026	97447
NCBI	NZ_CP003712.1	pZM1252603	Zymomonas mobilis subsp. mobilis NRRL B-12526	37592
NCBI	NC_005231.1	pSYSG	Synechocystis sp. PCC 6803	44978
NCBI	NC_007094.1	pKMA505	Actinobacillus porcitonsillarum pKMA505	8757
NCBI	NC_009933.1	pREB8	Acaryochloris marina MBIC11017	122419
NCBI	NC_010695.1	pET09	Erwinia tasmaniensis strain ET1/99 complete	9433
NCBI	NC_011767.1	pECA1039	Pectobacterium atrosepticum	5702
NCBI	NC_009038.1	pSbal04	Shewanella baltica OS155	8111
NCBI	NZ_HG977525.1	pCS01C	Acinetobacter baumannii	8292
NCBI	NZ_CP018876.1	3	Bacillus megaterium strain JX285	136722
NCBI	NZ_CP016689.1	p158E	Lactococcus lactis subsp. cremoris strain 158	11847
NCBI	NZ_CP010574.1	sequence	Klebsiella pneumoniae strain 32192	170061
NCBI	NZ_CP016484.1	unnamed1	Synechococcus sp. PCC 8807	4693
NCBI	NC_007959.1	1	Nitrobacter hamburgensis X14	299042
NCBI	NC_019849.2	pRmeGR4d	Sinorhizobium meliloti GR4	1725688
NCBI	NZ_CM004501.1	unnamed	Bacillus anthracis strain K2	95912
NCBI	NZ_CM003746.1	pXF-RC.COF0407	Xylella fastidiosa strain OLS0479	1315
NCBI	NZ_CP020460.1	pFAM18311_1	Lactobacillus sakei strain FAM18311	85791
NCBI	NC_011972.1	72a_cp32-4	Borrelia burgdorferi 72a	30446
NCBI	NZ_CP014416.1	pUSA04-1-SUR15	Staphylococcus aureus strain USA300-SUR15	27487
NCBI	NZ_CP019774.1	p2	Klebsiella pneumoniae subsp. pneumoniae strain KPN_KPC_HUG_07	115704
NCBI	NC_017409.1	JD1	Borrelia burgdorferi JD1	23155
NCBI	NC_010603.1	pLR581	Lactobacillus reuteri strain ATCC 55730	12335
NCBI	NZ_LT904889.1	2	Salmonella enterica subsp. enterica serovar Typhi strain 129-0238-M genome assembly,	66207
NCBI	NZ_CP020059.1	unitig_1	Escherichia coli strain AR_0061	89240
NCBI	NZ_CP013224.1	PDM04	Salmonella enterica subsp. enterica serovar Anatum strain GT-38	113780
NCBI	NZ_CP018431.1	pMNCRE78_1	Klebsiella pneumoniae strain MNCRE78	19161
NCBI	NC_009378.1	MT	Yersinia pestis Pestoides F	138969
NCBI	NZ_CP008908.1	pKPC-47e	Enterobacter cloacae ECR091	51054
NCBI	NZ_CM003755.1	pXF-P1.CVC0251	Xylella fastidiosa strain CVC0251	27403
NCBI	NZ_CP005987.1	megaplasmid	Acidithiobacillus caldus ATCC 51756	174430
NCBI	NC_009671.1	pOANT03	Ochrobactrum anthropi ATCC 49188	94927
NCBI	NC_008564.1	lp60	Borrelia afzelii PKo	60816
NCBI	NC_007068.1	pBC1	Bifidobacterium catenulatum	2578
NCBI	NC_009928.1	pREB3	Acaryochloris marina MBIC11017	277024
NCBI	NC_000953.1	cp32-8	Borrelia burgdorferi B31	31328
NCBI	NZ_CP012863.1	JZB09-Plasmid5	Persicobacter sp. JZB09	362671
NCBI	NC_010675.1	pKW1	Pseudoalteromonas sp. 643A	4650
NCBI	NC_011780.1	ZS7_lp28-1	Borrelia burgdorferi ZS7	23758
NCBI	NZ_CP014433.1	pUSA01-1-SUR20	Staphylococcus aureus strain USA300-SUR20	3171
NCBI	NC_017029.1	pMCE_2	Rickettsia amblyommatis str. GAT-30V	18525
NCBI	NZ_CP010127.1	B	Escherichia coli strain C8	43266
NCBI	NZ_CP009972.1	Unknown	Yersinia pestis CO92	71311
NCBI	NZ_CP011852.1	pPSLF89-3	Piscirickettsia salmonis strain LF-89	52311
NCBI	NZ_CP021993.1	unnamed2	Cryobacterium sp. LW097	1462
NCBI	NC_009426.1	pNL1	Novosphingobium aromaticivorans DSM 12444	187099
NCBI	NZ_CP016478.1	unnamed1	Synechococcus sp. PCC 7117	4743
NCBI	NC_018885.1	BTB_2p	Bacillus thuringiensis Bt407	2093
NCBI	NZ_CP020575.1	p15A5_2	Acinetobacter baumannii strain 15A5	8844
NCBI	NZ_CP014597.1	unnamed1	Yangia sp. CCB-MM3	320319
NCBI	NZ_CP017366.1	pL1277-3	Lactobacillus plantarum strain TMW 1.277	48501
NCBI	NC_019202.1	pKLC102	Pseudomonas aeruginosa	105013
NCBI	NC_023142.1	pGal_F69	Phaeobacter gallaeciensis DSM 26640	69736
NCBI	NC_006988.1	p47L	Pseudomonas sp. S-47	3130
NCBI	NZ_CP021502.1	pPL2022-1	Lactobacillus plantarum strain SRCM102022	66427
NCBI	NZ_CP018360.1	pCAV1752-111	Klebsiella oxytoca strain CAV1752	112604
NCBI	NZ_CP023160.1	unnamed1	Xanthomonas citri subsp. malvacearum strain MS14003	53143
NCBI	NC_006389.1	pNG100	Haloarcula marismortui ATCC 43049	33780
NCBI	NC_010550.1	pEXIG02	Exiguobacterium sibiricum 255-15	1792
NCBI	NC_013550.1	pBORa53	Staphylococcus aureus	17583
NCBI	NZ_CP009003.1	pXAC64	Xanthomonas citri subsp. citri strain MN10	64633
NCBI	NZ_CP013769.1	p1PS3	Piscirickettsia salmonis strain PM23019A	155406
NCBI	NC_015912.1	pVF21	Lactococcus lactis subsp. lactis bv. diacetylactis	22040
NCBI	NZ_CP014216.1	unnamed1	Acinetobacter baumannii strain YU-R612	75303
NCBI	NZ_CP014059.1	Unknown	Achromobacter xylosoxidans strain FDAARGOS_147	22283
NCBI	NZ_CP017955.1	unnamed1	Lactobacillus plantarum strain C410L1	75036
NCBI	NZ_CM004290.1	unnamed1	Pantoea sp. OXWO6B1	257373
NCBI	NZ_CP013240.1	pNPD4_1	Clostridium butyricum strain CDC_51208	9705
NCBI	NC_007617.1	3	Nitrosospira multiformis ATCC 25196	14363
NCBI	NC_008696.1	pTPEN01	Thermofilum pendens Hrk 5	31956
NCBI	NZ_CP014413.1	pUSA01-1-SUR14	Staphylococcus aureus strain USA300-SUR14	3171
NCBI	NC_021979.1	Apa386Bp7	Acetobacter pasteurianus 386B	3908
NCBI	NZ_CP012853.1	JZB09-Plasmid10	Persicobacter sp. JZB09	60873
NCBI	NZ_CP013071.1	pSRL1	Sphingobium indicum B90A	141208
NCBI	NZ_CP018246.1	pO157	Escherichia coli strain 472	96705
NCBI	NC_013780.1	pAH3680	Aeromonas hydrophila	3734
NCBI	NZ_CP021214.1	pSmeRU11b	Sinorhizobium meliloti RU11/001	87881
NCBI	NZ_CP014997.1	Unknown	Salmonella enterica subsp. enterica serovar Weltevreden str. 1655	83138
NCBI	NC_032101.1	pG6809-2	Enterobacter cloacae	58952
NCBI	NC_003227.1	pTET3	Corynebacterium glutamicum	28255
NCBI	NZ_CP017986.1	unnamed1	Klebsiella pneumoniae strain 825795-1	248203
NCBI	NZ_CP011583.1	pCAV1668-85	Enterobacter cloacae strain CAV1668	86405
NCBI	NC_011368.1	pRLG201	Rhizobium leguminosarum bv. trifolii WSM2304	1284194
NCBI	NC_015632.1	pMETOK01	Methanothermococcus okinawensis IH1	15145
NCBI	NC_007505.1	pXCV19	Xanthomonas campestris pv. vesicatoria	19421
NCBI	NZ_CP021847.1	pEC1515-3	Escherichia coli strain EC1515	85294
NCBI	NZ_CP009967.1	pBCO_1	Bacillus cereus E33L	472628
NCBI	NC_019272.1	pA363	Chlamydia trachomatis A/363	7611
NCBI	NZ_CP015340.1	unnamed2	Lactobacillus brevis strain 100D8	41323
NCBI	NZ_CP017373.1	pL1277-9	Lactobacillus plantarum strain TMW 1.277	9671
NCBI	NC_017018.1	pPECL-7	Pediococcus claussenii ATCC BAA-344	16298
NCBI	NC_012234.1	SV1_lp54	Borreliella finlandensis	84570
